FIRSTBOXNUM_BATTERYNUM,VOLTAGEVALUE,TEMPREATUREVALUE,RECEIVETIME,
9_9,3.322,0,2015-12-01 13:43:37.0,
9_10,3.324,0,2015-12-01 13:43:37.0,
9_11,3.324,0,2015-12-01 13:43:37.0,
9_12,3.324,0,2015-12-01 13:43:37.0,
9_13,3.324,0,2015-12-01 13:43:37.0,
9_14,3.324,0,2015-12-01 13:43:37.0,
9_15,3.324,0,2015-12-01 13:43:37.0,
9_16,3.322,0,2015-12-01 13:43:37.0,
1_1,3.311,61,2015-12-01 14:13:38.0,
1_2,3.312,60,2015-12-01 14:13:38.0,
1_3,3.312,0,2015-12-01 14:13:38.0,
1_4,3.312,0,2015-12-01 14:13:38.0,
1_5,3.312,0,2015-12-01 14:13:38.0,
1_6,3.312,0,2015-12-01 14:13:38.0,
1_7,3.312,0,2015-12-01 14:13:38.0,
1_8,3.312,0,2015-12-01 14:13:38.0,
1_9,3.31,0,2015-12-01 14:13:38.0,
1_10,3.312,0,2015-12-01 14:13:38.0,
1_11,3.312,0,2015-12-01 14:13:38.0,
1_12,3.312,0,2015-12-01 14:13:38.0,
1_13,3.31,0,2015-12-01 14:13:38.0,
1_14,3.312,0,2015-12-01 14:13:38.0,
1_15,3.312,0,2015-12-01 14:13:38.0,
1_16,3.309,0,2015-12-01 14:13:38.0,
2_1,3.31,60,2015-12-01 14:13:38.0,
2_2,3.311,59,2015-12-01 14:13:38.0,
2_3,3.311,0,2015-12-01 14:13:38.0,
2_4,3.31,0,2015-12-01 14:13:38.0,
2_5,3.31,0,2015-12-01 14:13:38.0,
2_6,3.311,0,2015-12-01 14:13:38.0,
2_7,3.312,0,2015-12-01 14:13:38.0,
2_8,3.31,0,2015-12-01 14:13:38.0,
2_9,3.31,0,2015-12-01 14:13:38.0,
2_10,3.312,0,2015-12-01 14:13:38.0,
2_11,3.311,0,2015-12-01 14:13:38.0,
2_12,3.311,0,2015-12-01 14:13:38.0,
2_13,3.31,0,2015-12-01 14:13:38.0,
2_14,3.311,0,2015-12-01 14:13:38.0,
2_15,3.312,0,2015-12-01 14:13:38.0,
2_16,3.312,0,2015-12-01 14:13:38.0,
3_1,3.312,60,2015-12-01 14:13:38.0,
3_2,3.313,60,2015-12-01 14:13:38.0,
3_3,3.313,0,2015-12-01 14:13:38.0,
3_4,3.312,0,2015-12-01 14:13:38.0,
3_5,3.313,0,2015-12-01 14:13:38.0,
3_6,3.313,0,2015-12-01 14:13:38.0,
3_7,3.314,0,2015-12-01 14:13:38.0,
3_8,3.313,0,2015-12-01 14:13:38.0,
3_9,3.313,0,2015-12-01 14:13:38.0,
3_10,3.313,0,2015-12-01 14:13:38.0,
3_11,3.312,0,2015-12-01 14:13:38.0,
3_12,3.311,0,2015-12-01 14:13:38.0,
3_13,3.31,0,2015-12-01 14:13:38.0,
3_14,3.312,0,2015-12-01 14:13:38.0,
3_15,3.312,0,2015-12-01 14:13:38.0,
3_16,3.312,0,2015-12-01 14:13:38.0,
